label,code,list_date,issue_price,source,first_trade_date,open,close,high,low,open_premium_pct,close_premium_pct
Kweichow Moutai,600519,2001-08-27,31.39,cninfo,2001-08-27,34.51,35.55,37.78,32.85,9.93947116916214,13.252628225549534
CATL,300750,2018-06-11,25.14,cninfo,2018-06-11,30.17,36.2,36.2,30.17,20.007955449482907,43.9936356404137
Zhongji Innolight,300308,2012-04-10,20.0,cninfo,2012-04-10,20.51,21.8,21.8,20.51,2.550000000000008,9.000000000000007
GigaDevice,603986,2016-08-18,23.26,cninfo,2016-08-18,27.91,33.49,33.49,27.91,19.99140154772141,43.981083404987096
Cambricon,688256,2020-07-20,64.39,cninfo,2020-07-20,250.0,212.4,295.0,205.6,288.25904643578195,229.86488585184034
SMIC,688981,2020-07-16,27.46,cninfo,2020-07-16,95.0,82.92,95.0,80.0,245.9577567370721,201.96649672250544
Hygon,688041,2022-08-12,36.0,cninfo,2022-08-12,70.0,60.1,73.8,60.1,94.44444444444444,66.94444444444446
AMEC,688012,2019-07-22,29.01,cninfo,2019-07-22,109.8,81.03,125.0,62.0,278.4901758014478,179.3174767321613
Montage,688008,2019-07-22,24.8,cninfo,2019-07-22,91.3,74.92,97.2,66.3,268.14516129032256,202.09677419354838
Mindray,300760,2018-10-16,48.8,cninfo,2018-10-16,58.56,70.27,70.27,58.56,20.000000000000018,43.99590163934426
WuXi AppTec,603259,2018-05-08,21.6,cninfo,2018-05-08,25.92,31.1,31.1,25.92,19.999999999999996,43.98148148148149
East Money,300059,2010-03-19,40.58,cninfo,2010-03-19,61.0,58.35,62.2,58.03,50.3203548546082,43.79004435682603
BYD,002594,2011-06-30,18.0,cninfo,2011-06-30,22.0,25.45,26.19,22.0,22.222222222222232,41.38888888888887
Zijin Mining,601899,2008-04-25,7.13,cninfo,2008-04-25,9.98,13.92,22.0,9.61,39.97194950911642,95.23141654978961
Luxshare,002475,2010-09-15,28.8,cninfo,2010-09-15,35.0,39.99,40.0,35.0,21.527777777777768,38.85416666666668
Sungrow,300274,2011-11-02,30.5,cninfo,2011-11-02,31.0,34.72,34.99,31.0,1.6393442622950838,13.836065573770483
Inovance,300124,2010-09-28,71.88,cninfo,2010-09-28,89.0,91.99,93.8,87.0,23.81747356705621,27.97718419588202
Imeik,300896,2020-09-28,118.27,cninfo,2020-09-28,320.0,340.1,366.2,311.0,170.56734590344126,187.5623573180012
United Imaging,688271,2022-08-22,109.88,cninfo,2022-08-22,170.11,181.22,192.48,170.11,54.81434291954861,64.92537313432835
Moore Threads,688795,2025-12-05,114.28,cninfo,2025-12-05,650.0,600.5,688.0,556.0,468.7784389219461,425.46377318865945
MetaX,688802,2025-12-17,104.66,cninfo,2025-12-17,700.0,829.9,895.0,650.0,568.8324097076247,692.9485954519397
Dameng,688692,2024-06-12,86.96,cninfo,2024-06-12,310.0,240.8,313.33,232.57,256.48574057037723,176.90892364305432
Insta360,688775,2025-06-11,47.27,cninfo,2025-06-11,182.0,177.0,187.99,165.11,285.0222128199704,274.4446795007404
Hua Hong,688347,2023-08-07,52.0,cninfo,2023-08-07,58.88,53.06,59.88,52.3,13.230769230769246,2.0384615384615445
