code,stock_name,industry_board
688432,有研硅,半导体材料
688584,上海合晶,半导体材料
301611,珂玛科技,半导体材料
688535,华海诚科,半导体材料
002119,康强电子,半导体材料
600206,有研新材,半导体材料
300666,江丰电子,半导体材料
605358,立昂微,半导体材料
688720,艾森股份,半导体材料
688233,神工股份,半导体材料
688138,清溢光电,半导体材料
688126,沪硅产业,半导体材料
688783,西安奕材-U,半导体材料
002409,雅克科技,半导体材料
688721,龙图光罩,半导体材料
600641,先导基电,半导体材料
301678,新恒汇,半导体材料
003026,中晶科技,半导体材料
920179,凯德石英,半导体材料
603991,领先股份,半导体材料
688401,路维光电,半导体材料
688530,欧莱新材,半导体材料
688727,恒坤新材,半导体材料
688146,中船特气,半导体材料
300706,阿石创,半导体材料
920012,创达新材,半导体材料
688234,天岳先进,半导体材料
920181,赛英电子,半导体材料
688797,C臻宝,半导体材料
688809,强一股份,半导体材料
688661,和林微纳,半导体材料
688409,富创精密,半导体设备
301629,矽电股份,半导体设备
688605,先锋精科,半导体设备
688361,中科飞测,半导体设备
688037,芯源微,半导体设备
688120,华海清科,半导体设备
688652,京仪装备,半导体设备
603061,金海通,半导体设备
688012,中微公司,半导体设备
688200,华峰测控,半导体设备
603690,至纯科技,半导体设备
688147,微导纳米,半导体设备
002371,北方华创,半导体设备
300604,长川科技,半导体设备
688072,拓荆科技,半导体设备
688082,盛美上海,半导体设备
688419,耐科装备,半导体设备
301297,富乐德,半导体设备
688729,XD屹唐股,半导体设备
301369,联动科技,半导体设备
003043,华亚智能,半导体设备
688478,晶升股份,半导体设备
688432,有研硅,半导体
688409,富创精密,半导体
688584,上海合晶,半导体
301611,珂玛科技,半导体
688535,华海诚科,半导体
002119,康强电子,半导体
600206,有研新材,半导体
301629,矽电股份,半导体
300666,江丰电子,半导体
688605,先锋精科,半导体
688361,中科飞测,半导体
605358,立昂微,半导体
688720,艾森股份,半导体
001309,德明利,半导体
688037,芯源微,半导体
688110,东芯股份,半导体
688233,神工股份,半导体
600745,*ST闻泰,半导体
688138,清溢光电,半导体
688126,沪硅产业,半导体
603005,晶方科技,半导体
688120,华海清科,半导体
688783,西安奕材-U,半导体
688525,佰维存储,半导体
688061,灿瑞科技,半导体
002409,雅克科技,半导体
688652,京仪装备,半导体
603061,金海通,半导体
301348,蓝箭电子,半导体
688012,中微公司,半导体
688721,龙图光罩,半导体
688216,气派科技,半导体
688486,龙迅股份,半导体
688582,芯动联科,半导体
688200,华峰测控,半导体
600641,先导基电,半导体
605111,新洁能,半导体
603690,至纯科技,半导体
688270,ST臻镭,半导体
688147,微导纳米,半导体
688352,颀中科技,半导体
301678,新恒汇,半导体
002371,北方华创,半导体
003026,中晶科技,半导体
920179,凯德石英,半导体
300604,长川科技,半导体
603991,领先股份,半导体
688380,中微半导,半导体
688072,拓荆科技,半导体
600460,士兰微,半导体
688123,聚辰股份,半导体
688385,复旦微电,半导体
002185,华天科技,半导体
688401,路维光电,半导体
688530,欧莱新材,半导体
688469,芯联集成-U,半导体
600877,电科芯片,半导体
301308,江波龙,半导体
688727,恒坤新材,半导体
688082,盛美上海,半导体
688689,XD银河微,半导体
688396,华润微,半导体
688141,杰华特,半导体
688249,晶合集成,半导体
300458,全志科技,半导体
688521,芯原股份,半导体
688595,芯海科技,半导体
603986,兆易创新,半导体
688381,帝奥微,半导体
300671,富满微,半导体
688325,赛微微电,半导体
688728,格科微,半导体
688620,安凯微,半导体
688146,中船特气,半导体
300706,阿石创,半导体
300373,扬杰科技,半导体
688702,盛科通信-U,半导体
920012,创达新材,半导体
688419,耐科装备,半导体
301297,富乐德,半导体
300223,北京君正,半导体
688220,翱捷科技-U,半导体
300053,航宇微,半导体
920139,华岭股份,半导体
688286,敏芯股份,半导体
688362,甬矽电子,半导体
688234,天岳先进,半导体
688045,必易微,半导体
688130,晶华微,半导体
688372,伟测科技,半导体
688347,华虹宏力,半导体
688536,思瑞浦,半导体
688391,钜泉科技,半导体
002077,大港股份,半导体
688332,中科蓝讯,半导体
688230,芯导科技,半导体
688252,天德钰,半导体
688368,晶丰明源,半导体
688213,思特威-W,半导体
688512,慧智微-U,半导体
688135,利扬芯片,半导体
301536,星宸科技,半导体
688591,泰凌微,半导体
688729,XD屹唐股,半导体
300623,捷捷微电,半导体
688153,唯捷创芯,半导体
688107,安路科技,半导体
688256,寒武纪,半导体
600584,长电科技,半导体
603290,斯达半导,半导体
300077,国民技术,半导体
688593,新相微,半导体
603501,豪威集团,半导体
603160,汇顶科技,半导体
603893,瑞芯微,半导体
301369,联动科技,半导体
688653,康希通信,半导体
603068,博通集成,半导体
688449,联芸科技,半导体
688766,普冉股份,半导体
688052,纳芯微,半导体
688458,美芯晟,半导体
688099,晶晨股份,半导体
300456,赛微电子,半导体
688508,芯朋微,半导体
688795,摩尔线程-U,半导体
688173,希荻微,半导体
300831,ST派瑞,半导体
002049,紫光国微,半导体
688515,裕太微-U,半导体
688790,昂瑞微-UW,半导体
688608,恒玄科技,半导体
688041,海光信息,半导体
300613,富瀚微,半导体
688259,创耀科技,半导体
300046,台基股份,半导体
688798,艾为电子,半导体
688279,峰岹科技,半导体
600360,华微电子,半导体
603375,盛景微,半导体
688589,力合微,半导体
688709,成都华微,半导体
920181,赛英电子,半导体
688699,明微电子,半导体
688172,燕东微,半导体
688047,龙芯中科,半导体
688601,力芯微,半导体
688403,汇成股份,半导体
300661,圣邦股份,半导体
688416,恒烁股份,半导体
688049,炬芯科技,半导体
300327,中颖电子,半导体
688018,乐鑫科技,半导体
688262,国芯科技,半导体
688484,南芯科技,半导体
688797,C臻宝,半导体
688981,中芯国际,半导体
688209,英集芯,半导体
688802,沐曦股份-U,半导体
688498,源杰科技,半导体
688809,强一股份,半导体
300672,国科微,半导体
688693,锴威特,半导体
003043,华亚智能,半导体
688478,晶升股份,半导体
688261,东微半导,半导体
688711,宏微科技,半导体
688691,灿芯股份,半导体
688008,澜起科技,半导体
600171,上海贝岭,半导体
688661,和林微纳,半导体
688167,炬光科技,半导体
002213,大为股份,半导体
002156,通富微电,半导体
300782,卓胜微,半导体
688820,盛合晶微,半导体
688807,优迅股份,半导体
688048,长光华芯,半导体
603005,晶方科技,集成电路封测
301348,蓝箭电子,集成电路封测
688216,气派科技,集成电路封测
688352,颀中科技,集成电路封测
002185,华天科技,集成电路封测
920139,华岭股份,集成电路封测
688362,甬矽电子,集成电路封测
688372,伟测科技,集成电路封测
002077,大港股份,集成电路封测
688135,利扬芯片,集成电路封测
600584,长电科技,集成电路封测
688403,汇成股份,集成电路封测
002156,通富微电,集成电路封测
001309,德明利,数字芯片设计
688110,东芯股份,数字芯片设计
688525,佰维存储,数字芯片设计
688486,龙迅股份,数字芯片设计
688380,中微半导,数字芯片设计
688123,聚辰股份,数字芯片设计
688385,复旦微电,数字芯片设计
301308,江波龙,数字芯片设计
300458,全志科技,数字芯片设计
688521,芯原股份,数字芯片设计
688595,芯海科技,数字芯片设计
603986,兆易创新,数字芯片设计
688728,格科微,数字芯片设计
688620,安凯微,数字芯片设计
688702,盛科通信-U,数字芯片设计
300223,北京君正,数字芯片设计
300053,航宇微,数字芯片设计
688332,中科蓝讯,数字芯片设计
688252,天德钰,数字芯片设计
688213,思特威-W,数字芯片设计
301536,星宸科技,数字芯片设计
688591,泰凌微,数字芯片设计
688107,安路科技,数字芯片设计
688256,寒武纪,数字芯片设计
300077,国民技术,数字芯片设计
688593,新相微,数字芯片设计
603501,豪威集团,数字芯片设计
603893,瑞芯微,数字芯片设计
688449,联芸科技,数字芯片设计
688766,普冉股份,数字芯片设计
688099,晶晨股份,数字芯片设计
688795,摩尔线程-U,数字芯片设计
002049,紫光国微,数字芯片设计
688608,恒玄科技,数字芯片设计
688041,海光信息,数字芯片设计
300613,富瀚微,数字芯片设计
688259,创耀科技,数字芯片设计
688279,峰岹科技,数字芯片设计
688589,力合微,数字芯片设计
688709,成都华微,数字芯片设计
688047,龙芯中科,数字芯片设计
688416,恒烁股份,数字芯片设计
688049,炬芯科技,数字芯片设计
300327,中颖电子,数字芯片设计
688018,乐鑫科技,数字芯片设计
688262,国芯科技,数字芯片设计
688802,沐曦股份-U,数字芯片设计
300672,国科微,数字芯片设计
688008,澜起科技,数字芯片设计
002213,大为股份,数字芯片设计
688807,优迅股份,数字芯片设计
688061,灿瑞科技,模拟芯片设计
688582,芯动联科,模拟芯片设计
688270,ST臻镭,模拟芯片设计
600877,电科芯片,模拟芯片设计
688141,杰华特,模拟芯片设计
688381,帝奥微,模拟芯片设计
300671,富满微,模拟芯片设计
688325,赛微微电,模拟芯片设计
688220,翱捷科技-U,模拟芯片设计
688286,敏芯股份,模拟芯片设计
688045,必易微,模拟芯片设计
688130,晶华微,模拟芯片设计
688536,思瑞浦,模拟芯片设计
688391,钜泉科技,模拟芯片设计
688368,晶丰明源,模拟芯片设计
688512,慧智微-U,模拟芯片设计
688153,唯捷创芯,模拟芯片设计
603160,汇顶科技,模拟芯片设计
688653,康希通信,模拟芯片设计
603068,博通集成,模拟芯片设计
688052,纳芯微,模拟芯片设计
688458,美芯晟,模拟芯片设计
688508,芯朋微,模拟芯片设计
688173,希荻微,模拟芯片设计
688515,裕太微-U,模拟芯片设计
688790,昂瑞微-UW,模拟芯片设计
688798,艾为电子,模拟芯片设计
603375,盛景微,模拟芯片设计
688699,明微电子,模拟芯片设计
688601,力芯微,模拟芯片设计
300661,圣邦股份,模拟芯片设计
688484,南芯科技,模拟芯片设计
688209,英集芯,模拟芯片设计
600171,上海贝岭,模拟芯片设计
300782,卓胜微,模拟芯片设计
688469,芯联集成-U,集成电路制造
688396,华润微,集成电路制造
688249,晶合集成,集成电路制造
688347,华虹宏力,集成电路制造
300456,赛微电子,集成电路制造
688981,中芯国际,集成电路制造
688691,灿芯股份,集成电路制造
688820,盛合晶微,集成电路制造
