股票,代码,日期,涨跌幅%,全天主力净流入(亿元)
中际旭创,sz300308,2026-05-29,-3.07,-18.618
中际旭创,sz300308,2026-06-01,-2.68,-23.412
中际旭创,sz300308,2026-06-02,5.47,40.83
中际旭创,sz300308,2026-06-03,6.98,37.304
中际旭创,sz300308,2026-06-04,0.39,-4.355
中际旭创,sz300308,2026-06-05,-7.81,-30.864
中际旭创,sz300308,2026-06-08,-2.12,51.813
中际旭创,sz300308,2026-06-09,2.17,7.996
中际旭创,sz300308,2026-06-10,-2.8,-13.155
中际旭创,sz300308,2026-06-11,-2.01,8.759
中际旭创,sz300308,2026-06-12,2.22,11.279
中际旭创,sz300308,2026-06-15,8.36,46.724
中际旭创,sz300308,2026-06-16,0.25,-4.194
中际旭创,sz300308,2026-06-17,2.25,27.879
中际旭创,sz300308,2026-06-18,7.19,21.177
中际旭创,sz300308,2026-06-22,1.06,-2.091
中际旭创,sz300308,2026-06-23,-5.23,-40.203
中际旭创,sz300308,2026-06-24,0.17,6.488
中际旭创,sz300308,2026-06-25,0.86,-4.155
中际旭创,sz300308,2026-06-26,-5.25,-44.881
中际旭创,sz300308,2026-06-29,-2.7,-8.285
中际旭创,sz300308,2026-06-30,4.1,29.161
中际旭创,sz300308,2026-07-01,-3.69,-28.479
中际旭创,sz300308,2026-07-02,-6.55,13.692
中际旭创,sz300308,2026-07-03,-2.36,31.15
中际旭创,sz300308,2026-07-06,-1.53,-2.746
中际旭创,sz300308,2026-07-07,2.09,17.147
中际旭创,sz300308,2026-07-08,0.57,-0.723
中际旭创,sz300308,2026-07-09,5.9,5.459
中际旭创,sz300308,2026-07-10,-8.45,-62.48
兆易创新,sh603986,2026-05-29,-3.31,-9.242
兆易创新,sh603986,2026-06-01,0.21,0.29
兆易创新,sh603986,2026-06-02,1.43,-1.882
兆易创新,sh603986,2026-06-03,3.7,8.695
兆易创新,sh603986,2026-06-04,7.53,32.813
兆易创新,sh603986,2026-06-05,-7.8,-49.159
兆易创新,sh603986,2026-06-08,-2.87,20.261
兆易创新,sh603986,2026-06-09,5.59,6.922
兆易创新,sh603986,2026-06-10,-3.93,-15.251
兆易创新,sh603986,2026-06-11,0.55,-0.379
兆易创新,sh603986,2026-06-12,-0.42,-16.424
兆易创新,sh603986,2026-06-15,7.59,37.334
兆易创新,sh603986,2026-06-16,2.85,1.731
兆易创新,sh603986,2026-06-17,10.0,69.248
兆易创新,sh603986,2026-06-18,7.33,39.987
兆易创新,sh603986,2026-06-22,9.65,5.323
兆易创新,sh603986,2026-06-23,-7.06,-38.099
兆易创新,sh603986,2026-06-24,10.0,34.793
兆易创新,sh603986,2026-06-25,9.94,-9.161
兆易创新,sh603986,2026-06-26,-0.67,-1.243
兆易创新,sh603986,2026-06-29,9.09,40.921
兆易创新,sh603986,2026-06-30,-2.98,-15.851
兆易创新,sh603986,2026-07-01,-5.27,-17.839
兆易创新,sh603986,2026-07-02,-10.0,-24.652
兆易创新,sh603986,2026-07-03,-2.45,9.293
兆易创新,sh603986,2026-07-06,-3.46,-42.739
兆易创新,sh603986,2026-07-07,-5.24,8.637
兆易创新,sh603986,2026-07-08,-2.71,-16.449
兆易创新,sh603986,2026-07-09,10.0,41.419
兆易创新,sh603986,2026-07-10,-7.76,-78.845
沪电股份,sz002463,2026-05-29,-0.77,-5.372
沪电股份,sz002463,2026-06-01,-7.22,-6.183
沪电股份,sz002463,2026-06-02,6.93,5.667
沪电股份,sz002463,2026-06-03,-0.92,-3.443
沪电股份,sz002463,2026-06-04,8.49,33.835
沪电股份,sz002463,2026-06-05,-5.4,-19.522
沪电股份,sz002463,2026-06-08,2.84,8.299
沪电股份,sz002463,2026-06-09,2.99,1.57
沪电股份,sz002463,2026-06-10,-7.43,-19.555
沪电股份,sz002463,2026-06-11,-2.83,-0.375
沪电股份,sz002463,2026-06-12,-1.35,-5.225
沪电股份,sz002463,2026-06-15,6.84,15.604
沪电股份,sz002463,2026-06-16,5.14,18.627
沪电股份,sz002463,2026-06-17,4.2,7.727
沪电股份,sz002463,2026-06-18,0.92,-1.34
沪电股份,sz002463,2026-06-22,-1.78,-13.934
沪电股份,sz002463,2026-06-23,-4.65,-4.235
沪电股份,sz002463,2026-06-24,3.5,3.672
沪电股份,sz002463,2026-06-25,8.12,23.394
沪电股份,sz002463,2026-06-26,-4.97,-17.732
沪电股份,sz002463,2026-06-29,-4.22,-8.652
沪电股份,sz002463,2026-06-30,8.32,22.94
沪电股份,sz002463,2026-07-01,-5.1,-13.296
沪电股份,sz002463,2026-07-02,-10.0,-21.456
沪电股份,sz002463,2026-07-03,3.71,13.379
沪电股份,sz002463,2026-07-06,-4.82,-11.519
沪电股份,sz002463,2026-07-07,0.69,2.776
沪电股份,sz002463,2026-07-08,-1.17,-2.631
沪电股份,sz002463,2026-07-09,7.1,13.571
沪电股份,sz002463,2026-07-10,-5.72,-11.128
