分组,关系,N,Pearson_r,p值,Spearman_r,方向一致率%
中际旭创,9:45前净流入 vs 当日涨跌幅,30,0.48,0.0072,0.46,73.3
中际旭创,11:30前净流入 vs 当日涨跌幅,30,0.636,0.0002,0.596,76.7
中际旭创,全天净流入(逐笔) vs 当日涨跌幅,30,0.714,0.0,0.703,76.7
中际旭创,全天净流入(新浪) vs 当日涨跌幅,30,0.718,0.0,0.711,70.0
中际旭创,9:45前净流入 vs 次日涨跌幅,29,-0.019,0.9201,-0.062,58.6
中际旭创,11:30前净流入 vs 次日涨跌幅,29,0.208,0.2782,0.265,62.1
中际旭创,当日净流入(逐笔) vs 次日涨跌幅,29,0.083,0.667,0.089,62.1
兆易创新,9:45前净流入 vs 当日涨跌幅,30,0.532,0.0025,0.469,56.7
兆易创新,11:30前净流入 vs 当日涨跌幅,30,0.576,0.0009,0.621,70.0
兆易创新,全天净流入(逐笔) vs 当日涨跌幅,30,0.725,0.0,0.766,83.3
兆易创新,全天净流入(新浪) vs 当日涨跌幅,30,0.782,0.0,0.791,80.0
兆易创新,9:45前净流入 vs 次日涨跌幅,29,-0.111,0.5669,-0.14,48.3
兆易创新,11:30前净流入 vs 次日涨跌幅,29,0.096,0.6214,0.023,62.1
兆易创新,当日净流入(逐笔) vs 次日涨跌幅,29,0.05,0.7987,-0.03,41.4
沪电股份,9:45前净流入 vs 当日涨跌幅,30,0.665,0.0001,0.647,66.7
沪电股份,11:30前净流入 vs 当日涨跌幅,30,0.843,0.0,0.895,86.7
沪电股份,全天净流入(逐笔) vs 当日涨跌幅,30,0.898,0.0,0.886,96.7
沪电股份,全天净流入(新浪) vs 当日涨跌幅,30,0.919,0.0,0.937,96.7
沪电股份,9:45前净流入 vs 次日涨跌幅,29,-0.295,0.1197,-0.301,41.4
沪电股份,11:30前净流入 vs 次日涨跌幅,29,-0.094,0.6291,-0.066,51.7
沪电股份,当日净流入(逐笔) vs 次日涨跌幅,29,-0.135,0.4845,-0.135,41.4
三股合计(标准化),9:45前净流入 vs 当日涨跌幅,90,0.559,0.0,0.53,60.0
三股合计(标准化),11:30前净流入 vs 当日涨跌幅,90,0.685,0.0,0.717,77.8
三股合计(标准化),全天净流入(逐笔) vs 当日涨跌幅,90,0.779,0.0,0.802,84.4
三股合计(标准化),全天净流入(新浪) vs 当日涨跌幅,90,0.806,0.0,0.812,83.3
三股合计(标准化),9:45前净流入 vs 次日涨跌幅,87,-0.144,0.1835,-0.162,46.0
三股合计(标准化),11:30前净流入 vs 次日涨跌幅,87,0.064,0.5546,0.081,58.6
三股合计(标准化),当日净流入(逐笔) vs 次日涨跌幅,87,-0.01,0.9265,-0.021,49.4
